1
1,0,4
1,1,6
4,0,7
4,1,9
6,0,12
6,1,13
7,0,15
7,1,17
9,0,20
9,1,21
12,0,23
12,1,25
13,0,28
13,1,29
15,0,101
15,1,103
17,0,106
17,1,107
20,0,110
20,1,111
21,0,114
21,1,115
23,0,117
23,1,119
25,0,122
25,1,123
28,0,125
28,1,127
29,0,129
29,1,131
101,0,101
101,1,103
103,0,106
103,1,107
106,0,110
106,1,111
107,0,114
107,1,115
110,0,117
110,1,119
111,0,122
111,1,123
114,0,125
114,1,127
115,0,129
115,1,131
117,0,101
117,1,103
119,0,106
119,1,107
122,0,110
122,1,111
123,0,114
123,1,115
125,0,117
125,1,119
127,0,122
127,1,123
129,0,125
129,1,127
131,0,129
131,1,131
